# filename	team	exercise	url
solution	xai	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-xai/solution.ipynb
solution	xai-wyoming	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-xai-wyoming/solution.ipynb
solution	backpropagatedstudents	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-backpropagatedstudents/solution.ipynb
solution	aikraken	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-aikraken/solution.ipynb
solution	mysterious-potatoes	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-mysterious-potatoes/solution.ipynb
solution_rubik	mysterious-potatoes	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-mysterious-potatoes/solution_rubik.ipynb
solution_2048	mysterious-potatoes	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-mysterious-potatoes/solution_2048.ipynb
solution	the-explainables	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-the-explainables/solution.ipynb
solution	aiexplained	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-aiexplained/solution.ipynb
solution	group0	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-group0/solution.ipynb
solution	xai-explainable-black-magic	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-xai-explainable-black-magic/solution.ipynb
solution	viennxai	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-viennxai/solution.ipynb
solution	xai_group_a	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-xai_group_a/solution.ipynb
solution_covid	hands-on-xai	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-hands-on-xai/solution_covid.ipynb
solution	xai-random-group	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-xai-random-group/solution.ipynb
solution	feel_free_2_join	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-feel_free_2_join/solution.ipynb
solution	forum_feel_free_to_join	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-forum_feel_free_to_join/solution.ipynb
solution	explain_it_explainable	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-explain_it_explainable/solution.ipynb
solution	yet-another-group	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-yet-another-group/solution.ipynb
solution	explanation-is-all-you-need	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-explanation-is-all-you-need/solution.ipynb
solution	let_me_explain_you	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-let_me_explain_you/solution.ipynb
solution	dirty-mike-and-the-gang	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-dirty-mike-and-the-gang/solution.ipynb
solution	explain-the-unexplainable	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-explain-the-unexplainable/solution.ipynb
solution_rubik	explain-the-unexplainable	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-explain-the-unexplainable/solution_rubik.ipynb
solution_2048	explain-the-unexplainable	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-explain-the-unexplainable/solution_2048.ipynb
template	explain-the-unexplainable	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-explain-the-unexplainable/template.ipynb
solution	nothin_but_a_peanut	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-nothin_but_a_peanut/solution.ipynb
solution	3_and_1-2_ger	xai_proj_space_2020	https://github.com/jku-icg-classroom/xai_proj_space_2020-3_and_1-2_ger/solution.ipynb
2_saliency_map_by_ankitabuntolia	xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai/2_saliency_map_by_ankitabuntolia.ipynb
3_activation_atlas_by_stallinger	xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai/3_activation_atlas_by_stallinger.ipynb
4_perfect_images_by_puehringer	xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai/4_perfect_images_by_puehringer.ipynb
1_confusion_flow_by_auinger	xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai/1_confusion_flow_by_auinger.ipynb
duringTraining	xai-wyoming	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-wyoming/duringTraining.ipynb
GradientExplainer	xai-wyoming	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-wyoming/GradientExplainer.ipynb
GradCam	xai-wyoming	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-wyoming/GradCam.ipynb
Project	backpropagatedstudents	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-backpropagatedstudents/Project.ipynb
assignment2	mysterious-potatoes	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-mysterious-potatoes/assignment2.ipynb
shap_explanation_v02	group0	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-group0/shap_explanation_v02.ipynb
visualize_tensorboard_alphafold	group0	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-group0/visualize_tensorboard_alphafold.ipynb
LIME	group0	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-group0/LIME.ipynb
train_svm_model	group0	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-group0/train_svm_model.ipynb
sage	group0	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-group0/sage.ipynb
solution	xai-explainable-black-magic	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-explainable-black-magic/solution.ipynb
solution	viennxai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-viennxai/solution.ipynb
layer-projection	xai_group_a	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai_group_a/layer-projection.ipynb
dominant_features_spectralanalysis	xai_group_a	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai_group_a/dominant_features_spectralanalysis.ipynb
top_activations	xai_group_a	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai_group_a/top_activations.ipynb
adversarial_examples	xai_group_a	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai_group_a/adversarial_examples.ipynb
score_cam	hands-on-xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-hands-on-xai/score_cam.ipynb
CifarVGG16	hands-on-xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-hands-on-xai/CifarVGG16.ipynb
feature_visualization	hands-on-xai	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-hands-on-xai/feature_visualization.ipynb
Kernel_Featuremap_Visualization	xai-random-group	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-random-group/Kernel_Featuremap_Visualization.ipynb
Training_Analysis	xai-random-group	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-random-group/Training_Analysis.ipynb
LastLayer_tSNE	xai-random-group	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-random-group/LastLayer_tSNE.ipynb
visualize_output_grad_cam	xai-random-group	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-random-group/visualize_output_grad_cam.ipynb
grad_cam	xai-random-group	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-random-group/grad_cam.ipynb
IntegratedGradients_CIFAR10	xai-random-group	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-xai-random-group/IntegratedGradients_CIFAR10.ipynb
ExplainableAIAlexNet	feel_free_2_join	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-feel_free_2_join/ExplainableAIAlexNet.ipynb
2D filter-normalized loss visualization	forum_feel_free_to_join	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-forum_feel_free_to_join/2D filter-normalized loss visualization.ipynb
model_graph_and_activations_vis	forum_feel_free_to_join	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-forum_feel_free_to_join/model_graph_and_activations_vis.ipynb
GradCAM	forum_feel_free_to_join	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-forum_feel_free_to_join/GradCAM.ipynb
MNIST_Model	forum_feel_free_to_join	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-forum_feel_free_to_join/MNIST_Model.ipynb
main_ipython_file	explain_it_explainable	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-explain_it_explainable/main_ipython_file.ipynb
final_project_xAI	explanation-is-all-you-need	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-explanation-is-all-you-need/final_project_xAI.ipynb
approach3_maximally_activating_images	let_me_explain_you	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-let_me_explain_you/approach3_maximally_activating_images.ipynb
approach1_GradientBased	let_me_explain_you	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-let_me_explain_you/approach1_GradientBased.ipynb
approach2_Feature Maps and Filters	let_me_explain_you	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-let_me_explain_you/approach2_Feature Maps and Filters.ipynb
approach4_LIME	let_me_explain_you	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-let_me_explain_you/approach4_LIME.ipynb
Submission	dirty-mike-and-the-gang	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-dirty-mike-and-the-gang/Submission.ipynb
Gradient_of_pixels	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/Gradient_of_pixels.ipynb
3- Deconvolution_and_Filter_Visualization	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/3- Deconvolution_and_Filter_Visualization.ipynb
ass2_XAI_basic	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/ass2_XAI_basic.ipynb
4- Grad-CAM	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/4- Grad-CAM.ipynb
6 - LIME_explanations_run	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/6 - LIME_explanations_run.ipynb
Untitled	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/Untitled.ipynb
imagenet labels to pkl file	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/imagenet labels to pkl file.ipynb
2 - Visualization of Fully Connected Layer Neurons	nothin_but_a_peanut	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-nothin_but_a_peanut/2 - Visualization of Fully Connected Layer Neurons.ipynb
solution	3_and_1-2_ger	xai_model_explanation_2020	https://github.com/jku-icg-classroom/xai_model_explanation_2020-3_and_1-2_ger/solution.ipynb
